"filename", "language", "Markdown", "Ignore", "Properties", "JavaScript", "XML", "SCSS", "JavaScript JSX", "CSS", "JSON", "HTML", "Docker", "comment", "blank", "total"
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\RepairRoom\components\PlaningRepairRoom\PlaningRepairRoom.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 8, 100
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\RepairRoom\components\RepairRoomTable\RepairRoomTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 0, 4, 11, 195
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\RepairRoom\components\StatisticRepairRoom\StatisticRepairRoom.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 6, 55
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\RepairRoom\style.scss", "SCSS", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 9, 72
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\RoomService\Components\RoomServiceRepair\RoomServiceRepair.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 213, 0, 0, 0, 0, 7, 19, 239
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\RoomService\Components\RoomServiceStatistic\RoomServiceStatistic.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 3, 48
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\RoomService\Components\TableRoom\TableRoom.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 221, 0, 0, 0, 0, 2, 17, 240
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\RoomService\RoomService.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 4, 8, 102
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\RoomService\RoomService.scss", "SCSS", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 7, 60
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\index.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Services\Components\ServicesGroupTab\GroupTabModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 2, 2, 36
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Services\Components\ServicesGroupTab\GroupTabTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 1, 82
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Services\Components\ServicesGroupTab\ServicesGroupTab.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Services\Components\ServicesTab\PageWithoutServices.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Services\Components\ServicesTab\ServiceTabTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 6, 98
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Services\Components\ServicesTab\ServicesTab.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 2, 18
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Services\Components\ServicesTab\ServicesTabCreate.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 1, 78
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Services\Components\ServicesTab\TabCreateStep1.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 2, 43
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Services\Components\ServicesTab\TabCreateStep2.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 3, 55
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Services\Components\ServicesTab\TabCreateStep3.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 3, 65
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Services\Services.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 2, 32
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Services\Services.scss", "SCSS", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 4, 45
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\SettingsHotel\SettingsHotel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 4, 10, 183
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\SettingsHotel\style.scss", "SCSS", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 5, 33
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\StatisticAndReports\StatisticAndReports.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 240, 0, 0, 0, 0, 13, 10, 263
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\StatisticAndReports\optionTables.js", "JavaScript", 0, 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 6, 164
